omega1,omega2,time
0.0013547614,-0.0002041664,402
0.002337344,0.0007885434,403
0.0017994568,0.0019380283,404
0.00083806366,0.0017444137,405
0.0016693771,0.00047706626,406
0.00085737556,-0.00062364154,407
0.0004897341,0.0007016752,408
0.00049123913,0.0018805899,409
-0.0006423071,0.0014578216,410
-0.00030052662,0.0013597347,411
-0.0010377392,-0.0003898833,412
-0.0030113906,-0.00073343515,413
-0.0027040318,-0.0010773502,414
-0.00029919297,-0.0025044084,415
0.0004692152,-0.0030185785,416
0.00039783865,-0.0013396218,417
0.00080151856,-0.0008919537,418
0.0008502081,-0.00087034516,419
0.00066589564,-0.0011623576,420
0.0018099025,-0.0012476742,421
0.002783887,-0.00013581477,422
0.0021091849,0.00076078065,423
0.0012941658,-0.00019784458,424
0.0019559488,0.00047243014,425
0.0020607635,0.0015958399,426
0.0010594279,0.0019055828,427
0.0013605654,0.0008300487,428
0.0019467622,-0.000778934,429
0.0003688261,0.00024772063,430
0.0004625842,0.0016998406,431
-0.0005500093,0.0014810748,432
-0.0004374683,0.0014407057,433
-0.0004969612,-0.00025919825,434
-0.0026753247,-0.0008124225,435
-0.002709888,-0.0010360926,436
-0.0011996105,-0.0019050501,437
0.0007182881,-0.0031773895,438
0.0003283471,-0.0011427961,439
0.00065935403,-0.0013076141,440
0.001160346,-0.00095112994,441
0.0004937798,-0.0011871904,442
0.001190804,-0.0013654977,443
0.0027806535,-0.0005105678,444
0.002133198,0.0013184845,445
0.0012407005,-0.00011403859,446
0.0016829446,0.00013631396,447
0.0023198947,0.0012022611,448
0.0012794062,0.002089005,449
0.0010387078,0.0011810493,450
0.0030051395,-0.00085524656,451
-0.00013066828,-0.00019732863,452
0.00036276877,0.001425568,453
0.000110045075,0.0018422194,454
-0.00056523085,0.0014448762,455
-0.00030582398,0.00022007152,456
-0.002213493,-0.0007197056,457
-0.0029027984,-0.0009096693,458
-0.002125308,-0.0011627246,459
0.0010395125,-0.003166156,460
0.00027563423,-0.0020373017,461
0.00044360012,-0.0015903823,462
0.0012061968,-0.0010319818,463
0.00028129667,-0.0011464097,464
0.00053890795,-0.0013443623,465
0.0026380941,-0.00080994144,466
0.002412133,0.0008574277,467
0.001051344,-7.6033175e-05,468
0.0014871955,-8.8602304e-05,469
0.0025705025,0.0009335503,470
0.0015611649,0.0020623747,471
