xseq_norm,xkoop_norm,time
0.0692132,0.93909764,122.25
0.13216251,0.90281063,122.5
0.1243451,0.8739242,122.75
0.049478143,0.86350775,123.0
0.07090774,0.8772816,123.25
0.133136,0.9085711,123.5
0.12546197,0.94602174,123.75
0.08667941,0.9775142,124.0
0.09468013,0.99517834,124.25
0.021611826,0.99661803,124.5
0.054452345,0.9780596,124.75
0.09900777,0.94608146,125.0
0.07736068,0.9106309,125.25
0.048221316,0.8820941,125.5
0.07480952,0.8720551,125.75
0.15758178,0.88262576,126.0
0.13628641,0.91129446,126.25
0.14296992,0.94871837,126.5
0.1326779,0.9795653,126.75
0.07985857,0.9976576,127.0
0.06645972,0.99837136,127.25
0.042502597,0.98011166,127.5
0.06314817,0.9483904,127.75
0.121948525,0.9113425,128.0
0.13107781,0.87939435,128.25
0.06908182,0.8638435,128.5
0.06600683,0.87176484,128.75
0.11675986,0.8996996,129.0
0.12936397,0.93651724,129.25
0.09561146,0.97026646,129.5
0.08381434,0.9919144,129.75
0.056546353,0.9975104,130.0
0.04056827,0.9842468,130.25
0.093993634,0.95494205,130.5
0.07762895,0.919269,130.75
0.068402134,0.88761866,131.0
0.0516029,0.8726863,131.25
0.1496856,0.8780308,131.5
0.14178869,0.9027326,131.75
0.121247895,0.93890893,132.0
0.1506288,0.9725102,132.25
0.06751858,0.99396974,132.5
0.0610545,0.999569,132.75
0.06160219,0.98590654,133.0
0.06557269,0.9565087,133.25
0.105059594,0.9197825,133.5
0.13603379,0.88571006,133.75
0.11057877,0.8653491,134.0
0.0632463,0.8667789,134.25
0.095423594,0.8906413,134.5
0.12639813,0.9264093,134.75
0.10726465,0.96208596,135.0
0.07725541,0.98728824,135.25
0.10729085,0.99693984,135.5
0.018594222,0.98933613,135.75
0.084280856,0.96297485,136.0
0.07766923,0.9277544,136.25
0.07345997,0.893884,136.5
0.025630228,0.87405545,136.75
0.1341147,0.8743374,137.0
0.14134845,0.89457256,137.25
0.10891715,0.92897224,137.5
0.15877712,0.96480644,137.75
0.062854625,0.9894534,138.0
0.07203676,0.9998374,138.25
0.07328583,0.9907164,138.5
0.06179159,0.9642824,138.75
0.08580823,0.9286798,139.0
0.13708532,0.8932401,139.25
0.12259628,0.8684759,139.5
0.059299402,0.8637534,139.75
0.08050406,0.8829063,140.0
0.1269607,0.9169183,140.25
0.120190196,0.95390016,140.5
0.07640177,0.98225236,140.75
0.14537719,0.9958945,141.0
0.014621477,0.9937756,141.25
0.06968944,0.97054535,141.5
0.091455,0.93645537,141.75
0.0752413,0.901682,142.0
0.02006601,0.87729937,142.25
0.10926214,0.8725348,142.5
0.14842513,0.88811666,142.75
0.118968025,0.9201305,143.0
0.16100569,0.9576332,143.25
0.102734886,0.9852455,143.5
0.08052974,0.9994601,143.75
0.07705321,0.99506086,144.0
0.056406397,0.9722375,144.25
0.06954341,0.938403,144.5
0.1326112,0.9022104,144.75
0.12405311,0.87360424,145.0
0.050179496,0.8636118,145.25
0.07140632,0.87780964,145.5
0.13269101,0.9093436,145.75
0.12523647,0.9468026,146.0
0.085668325,0.978083,146.25
0.09577469,0.99546295,146.5
0.020341095,0.9965617,146.75
0.055838365,0.9775947,147.0
0.099344656,0.9454237,147.25
0.077288665,0.9100225,147.5
0.045677822,0.8817697,147.75
0.0779961,0.8721083,148.0
0.15818815,0.8830515,148.25
0.13583319,0.91200316,148.5
0.14557004,0.94949514,148.75
0.13126509,0.98008186,149.0
0.08053834,0.9978808,149.25
0.06782949,0.99819744,149.5
0.041027438,0.97956175,149.75
0.0639321,0.94768924,150.0
0.12318243,0.9106672,150.25
0.13053545,0.87893826,150.5
0.065352395,0.8638002,150.75
0.06632382,0.87225187,151.0
0.118805476,0.9004928,151.25
0.1290308,0.9373952,151.5
0.09481112,0.970987,151.75
0.08475174,0.9923241,152.0
0.052573062,0.9975818,152.25
0.041653514,0.983856,152.5
0.0946966,0.95430124,152.75
0.077937216,0.918612,153.0
0.06810023,0.88718677,153.25
0.054208875,0.8726767,153.5
0.15092652,0.8784486,153.75
0.142032,0.90350795,154.0
0.123103514,0.9398024,154.25
0.14994304,0.97318983,154.5
0.06904112,0.99436766,154.75
0.059686616,0.99954146,155.0
0.06025003,0.9855224,155.25
0.065452635,0.9559022,155.5
0.106612846,0.9191169,155.75
0.13575016,0.8851893,156.0
0.109533206,0.86521554,156.25
0.06341541,0.86716413,156.5
0.09698452,0.89139783,156.75
0.12656382,0.9272777,157.0
0.10625238,0.96281403,157.25
0.07753557,0.98773324,157.5
0.10290768,0.9970455,157.75
0.021046624,0.988958,158.0
0.085447945,0.96234673,158.25
0.07703052,0.92706686,158.5
0.07314858,0.8933052,158.75
0.027161611,0.8738801,159.0
0.13582365,0.8745856,159.25
0.1411726,0.8952016,159.5
0.10945064,0.92977756,159.75
0.15839556,0.96544224,160.0
0.05928056,0.98982924,160.25
0.071454905,0.999889,160.5
0.07303861,0.9903749,160.75
0.06221067,0.9636535,161.0
0.08749962,0.92792743,161.25
0.1372345,0.89257324,161.5
0.12192104,0.86815417,161.75
0.060111914,0.8639244,162.0
0.0814614,0.8834757,162.25
0.12678248,0.9176649,162.5
0.119162284,0.95456845,162.75
0.07635672,0.98267925,163.0
0.15011504,0.9959971,163.25
0.012039119,0.9936093,163.5
0.071024105,0.97011286,163.75
0.089933224,0.9358925,164.0
0.075260974,0.9011601,164.25
0.018694477,0.87712973,164.5
0.11196752,0.87278354,164.75
0.14747247,0.8887531,165.0
0.11758754,0.9209939,165.25
0.16146244,0.95837957,165.5
0.10022698,0.98575044,165.75
0.08008968,0.99964404,166.0
0.07710036,0.9948445,166.25
0.057112593,0.971697,166.5
0.07032116,0.9376864,166.75
0.13378274,0.90159214,167.0
0.12424813,0.87327254,167.25
0.050911553,0.86371696,167.5
0.07203297,0.8783547,167.75
0.13266766,0.9101343,168.0
0.12530813,0.94759524,168.25
0.08468958,0.9786502,168.5
0.09903532,0.9957297,168.75
0.019386515,0.9965359,169.0
0.05712016,0.97714347,169.25
0.099760726,0.9447768,169.5
0.07746411,0.9094314,169.75
0.043120727,0.8814779,170.0
0.08099205,0.872214,170.25
0.15848355,0.883555,170.5
0.13491413,0.9128078,170.75
0.14756006,0.95037955,171.0
0.12917106,0.9807104,171.25
0.081405945,0.9982152,171.5
0.06919756,0.9981182,171.75
0.039464824,0.97909683,172.0
0.06470197,0.9470677,172.25
0.12439427,0.91007435,172.5
0.13010338,0.8785762,172.75
0.061513845,0.8638685,173.0
0.066700906,0.8728716,173.25
0.12089574,0.90142745,173.5
0.1288798,0.93841803,173.75
0.093963504,0.9718458,174.0
0.08577179,0.9928588,174.25
0.0485821,0.99776363,174.5
0.04277688,0.98355824,174.75
0.09529695,0.95374674,175.0
0.07815481,0.918044,175.25
0.067764245,0.8868554,175.5
0.056415703,0.87278575,175.75
0.15224949,0.8790137,176.0
0.14221083,0.9044449,176.25
0.12573306,0.94086385,176.5
0.14910106,0.97401625,176.75
0.07076302,0.9949037,177.0
0.059118394,0.9996397,177.25
0.05931443,0.9852303,177.5
0.06568423,0.9553727,177.75
0.1087689,0.91851974,178.0
0.13590448,0.8847377,178.25
0.108851515,0.86516494,178.5
0.063613534,0.8676519,178.75
0.09869359,0.8922724,179.0
0.12723392,0.9282663,179.25
0.105511874,0.9636514,179.5
0.07819364,0.9882722,179.75
